ranking,band_singer,title,year,song_id,lyrics
9,Billy Joel,It's Still Rock and Roll to Me,1980,253864,"35 ContributorsIt’s Still Rock and Roll to Me Lyrics[Verse 1]
What's the matter with the clothes I'm wearing?
Can't you tell that your tie's too wide?
Maybe I should buy some old tab collars?
Welcome back to the age of jive

[Pre-Chorus 1]
Where have you been hidin' out lately, honey?
You can't dress trashy 'til you spend a lot of money

[Chorus]
Everybody's talkin' 'bout the new sound
Funny, but it's still rock and roll to me

[Verse 2]
What's the matter with the car I'm driving?
Can't you tell that it's out of style?
Should I get a set of whitewall tires?
Are you gonna cruise the miracle mile?

[Pre-Chorus 2]
Nowadays you can't be too sentimental
Your best bet's a true baby blue Continental

[Chorus]
Hot funk, cool punk, even if it's old junk
It's still rock and roll to me
You might also like[Bridge]
Oh, it doesn't matter what they say in the papers
Cause it's always been the same old scene
There's a new band in town but you can't get the sound
From a story in a magazine
Aimed at your average teen

[Verse 3]
How about a pair of pink sidewinders
And a bright orange pair of pants?
You could really be a Beau Brummel baby
If you just give it half a chance

[Pre-Chorus 3]
Don't waste your money on a new set of speakers
You get more mileage from a cheap pair of sneakers

[Chorus]
Next phase, new wave, dance craze, anyways
It's still rock and roll to me
Alright Richie!

[Saxophone Solo]
Woo!
Ooh
[Verse 4]
What's the matter with the crowd I'm seeing?
Don't you know that they're out of touch?
Should I try to be a straight 'A' student?
If you are then you think too much

[Pre-Chorus 4]
Don't you know about the new fashion, honey?
All you need are looks and a whole lotta money

[Chorus]
It's the next phase, new wave
Dance craze, anyways
It's still rock and roll to me
Everybody's talkin' 'bout the new sound
Funny, but it's still rock and roll to me12Embed"
10,Bette Midler,The Rose,1980,428529,"19 ContributorsThe Rose Lyrics[Verse 1]
Some say love, it is a river
That drowns the tender reed
Some say love, it is a razor
That leaves your soul to bleed
Some say love, it is a hunger
An endless aching need
I say love, it is a flower
And you, its only seed

[Verse 2]
It's the heart, afraid of breaking
That never learns to dance
It's the dream, afraid of waking
That never takes the chance
It's the one who won't be taken
Who cannot seem to give
And the soul, afraid of dying
That never learns to live

[Verse 3]
When the night has been too lonely
And the road has been too long
And you think that love is only
For the lucky and the strong
Just remember in the winter
Far beneath the bitter snows
Lies the seed that with the sun's love
In the spring becomes the roseYou might also like7Embed"
1,Kim Carnes,Bette Davis Eyes,1981,622946,"54 ContributorsBette Davis Eyes Lyrics[Verse 1]
Her hair is Harlow gold
Her lips sweet surprise
Her hands are never cold
She's got Bette Davis eyes

[Verse 2]
She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

[Chorus 1]
And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
She got Greta Garbo stand off sighs
She's got Bette Davis eyes

[Verse 3]
She'll let you take her home
It whets her appetite
She'll lay you on her throne
She got Bette Davis eyes
You might also like[Verse 4]
She'll take a tumble on you
Roll you like you were dice
Until you come up blue
She's got Bette Davis eyes

[Chorus 2]
She'll expose you
When she snows you
Off your feet with the crumbs she throws you
She's ferocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

[Chorus 1]
And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

[Outro]
She'll tease you
She'll unease you
Just to please ya
She's got Bette Davis eyes
She'll expose you
When she snows you
She knows ya
She's got Bette Davis eyes10Embed"
2,Diana Ross,Endless Love,1981,6051445,"3 ContributorsEndless Love LyricsMy love, there's only you in my life
The only thing that’s right
My first love, you're every breath that I take
You're every step I make

And I, I want to share
All my love with you
No one else will do

And your eyes
Your eyes, your eyes
They tell me how much you care
Ooh yes, you will always be

My endless love
Two hearts, two hearts that beat as one
Our lives have just begun

Forever
(Oh)
I’ll hold you close in my arms
I can't resist your charms

And love, oh, love
I'll be a fool for you
I'm sure you know I don't mind
Oh, you know I don't mind
You might also like'Cause you, you mean the world to me
Oh, I know, I know
I've found in you
My endless love

Ooh-woow
Boom, boom

And love, oh, love
I’ll be a fool for you
I’m sure you know I don't mind
Oh, you know I don’t mind

And, yes, you'll be the only one
'Cause no one can deny
This love I have inside
And I'll give it all to you
My love
My love, my love
My endless loveEmbed"
3,Kenny Rogers,Lady,1981,622887,"12 ContributorsLady Lyrics[Verse 1]
Lady, I'm your knight in shining armor
And I love you
You have made me what I am and I am yours
My love, there's so many ways
I want to say I love you
Let me hold you in my arms forever more

[Chorus]
You have gone and made me such a fool
I'm so lost in your love
And oh, we belong together
Won't you believe in my song

[Verse 2]
Lady, for so many years
I thought I'd never find you
You have come into my life
And made me whole
Forever let me wake to see you each and every morning
Let me hear you whisper softly in my ear

[Chorus]
In my eyes I see no one else but you
There's no other love like our love
And yes, oh yes
I'll always want you near me
I've waited for you for so long
You might also like[Verse 3]
Lady, your love's the only love I need
And beside me is where I want you to be
'Cause my love
There's something I want you to know
You're the love of my life
You're my lady3Embed"
4,John Lennon,(Just Like) Starting Over,1981,318568,"26 Contributors(Just Like) Starting Over Lyrics[Intro]
Our life together is so precious together
We have grown - we have grown
Although our love is still special
Let's take a chance and fly away somewhere alone

[Verse 1]
It's been too long since we took the time
No-one's to blame, I know time flies so quickly
But when I see you darling
It's like we both are falling in love again
It'll be just like starting over (over)
Starting over (over)

[Verse 2]
Everyday we used to make it love
Why can't we be making love nice and easy?
It's time to spread our wings and fly
Don't let another day go by, my love
It'll be just like starting over (over)
Starting over (over)

[Bridge]
Why don't we take off alone?
Take a trip somewhere far, far away
We'll be together, all alone again
Like we used to in the early days
Well, well, darling
You might also like[Verse 1]
It's been too long since we took the time
No-one's to blame, I know time flies so quickly
But when I see you darling
It's like we both are falling in love again
It'll be just like starting over (over)
Starting over (over)
Look out!

[Outro]
Our life together is so precious together
We have grown - we have grown
Although our love is still special
Let's take a chance and fly away somewhere...
(Over and over and over)
Starting over
(Over and over and over
Over and over and over
Over and over and over)

[Produced by John Lennon, Yoko Ono, and Jack Douglas; engineered by Lee DeCarlo and Jon Smith]4Embed"
5,Rick Springfield,Jessie's Girl,1981,461745,"31 ContributorsJessie’s Girl Lyrics[Verse 1]
Jessie is a friend
Yeah, I know, he's been a good friend of mine
But lately something's changed that ain't hard to define
Jessie's got himself a girl, and I wanna make her mine

[Pre-Chorus]
And she's watching him with those eyes
And she's lovin' him with that body
I just know it
And he's holding her in his arms late, late at night

[Chorus]
You know I wish that I had Jessie's girl
I wish that I had Jessie's girl
Where can I find a woman like that?

[Verse 2]
I'll play along with this charade
That doesn't seem to be a reason to change
You know I feel so dirty when they start talking cute
I wanna tell her that I love her, but the point is probably moot

[Pre-Chorus]
'Cause she's watching him with those eyes
And she's lovin' him with that body
I just know it
And he's holding her in his arms late, late at night
You might also like[Chorus]
You know I wish that I had Jessie's girl
I wish that I had Jessie's girl
Where can I find a woman like that?
Like Jessie's girl
I wish that I had Jessie's girl
Where can I find a woman...
Where can I find a woman like that?

[Bridge]
And I'm lookin' in the mirror all the time
Wonderin' what she don't see in me
I've been funny; I've been cool with the lines
Ain't that the way love's supposed to be?

[Interlude]
Tell me where can I find a woman like that?

[Guitar Solo]

[Chorus]
You know I wish that I had Jessie's girl
I wish that I had Jessie's girl
I want Jessie's girl
Where can I find a woman like that?
Like Jessie's girl
I wish that I had Jessie's girl
I want, I want Jessie's girl15Embed"
6,Kool & the Gang,Celebration,1981,122714,"31 ContributorsCelebration Lyrics[Intro]
Yahoo! (This is your celebration)
Yahoo! (This is your celebration)
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (Let's celebrate)

[Verse]
There's a party goin' on right here
A celebration to last throughout the years
So bring your good times and your laughter too
We gonna celebrate your party with you
Come on now

[Hook]
(Celebration) Let's all celebrate and have a good time
(Celebration) We gon' celebrate and have a good time

[Bridge 1]
It's time to come together
It's up to you, what's your pleasure?
(Everyone around the world come on)

[Pre-Hook]
Yahoo! It's a celebration
Yahoo!
You might also like[Hook]
Celebrate good times, come on (It's a celebration)
Celebrate good times, come on (Let's celebrate)

[Verse]
There's a party goin' on right here
A dedication to last throughout the years
So bring your good times and your laughter too
We gonna celebrate and party with you
Come on now

[Hook]
(Celebration) Let's all celebrate and have a good time, yeah-yeah
(Celebration) We gon' celebrate and have a good time

[Bridge 1]
It's time to come together
It's up to you, what's your pleasure?
(Everyone around the world come on)

[Pre-Hook]
Yahoo! It's a celebration
Yahoo! It's a celebration

[Hook]
Celebrate good times, come on (Let's celebrate, come on now)
Celebrate good times, come on (Let's celebrate)
[Bridge 2]
We're gonna have a good time tonight
Let's celebrate, it's all right
We're gonna have a good time tonight
Let's celebrate, it's all right, baby
We're gonna have a good time tonight (Celebration)
Let's celebrate, it's all right
We're gonna have a good time tonight (Celebration)
Let's celebrate, it's all right

[Pre-Hook]
Yahoo!
Yahoo!

[Hook]
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (It's a celebration)
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (Come on and celebrate tonight)
(Baby everything's gonna be alright, let's celebrate)
Celebrate good times, come on
Celebrate good times, come on (Let's have a great time, celebrate)
Celebrate good times, come on9Embed"
7,Hall & Oates,Kiss on My List,1981,810957,"14 ContributorsKiss on My List Lyrics[Verse 1]
My friends wonder why I call you all the time, what can I say?
I don't feel the need to give such secrets away
You think maybe I need help, though I know I'm right, alright
I'm just better off not listening to friends' advice

[Pre-Chorus]
When they insist on knowing my bliss
I tell them this
When they wanna know what the reason is
I only smile when I lie, then I tell them why

[Chorus]
Because your kiss, your kiss is on my list
Because your kiss, your kiss is on my list
Because your kiss is on my list of the best things in life
Because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is what I miss when I turn out the light

[Verse 2]
I go crazy wonderin' what there is to really see
Did the night just take up your time 'cause it means more to me
Sometimes I forget what I'm doing, I don't forget what I want, what I want
Regret what I've done, regret you? I couldn't go on
You might also like[Pre-Chorus]
But if you insist on knowing my bliss
I'll tell you this
If you want to know what the reason is
I only smile when I lie, then I'll tell you why

[Chorus]
Because your kiss, your kiss is on my list
Because your kiss, your kiss is on my list
Because your kiss is on my list of the best things in life
Because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is what I miss when I turn out the light

[Bridge]
I really miss you, babe

[Chorus]
Because your kiss, your kiss is on my list
Because your kiss, your kiss is on my list
Because your kiss is on my list of the best things in life
Oh babe, because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is what I miss when I turn out the light

[Outro]
Because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is on my list of the best things in life
Ohh, because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist5Embed"
8,Eddie Rabbitt,I Love a Rainy Night,1981,146840,"16 ContributorsI Love a Rainy Night LyricsWell, I love a rainy night
I love a rainy night
I love to hear the thunder
Watch the lightning
When it lights up the sky
You know it makes me feel good

Well, I love a rainy night
It's such a beautiful sight
I love to feel the rain
On my face
Taste the rain on my lips
In the moonlight shadow

Showers washed
All my cares away
I wake up to a sunny day
'Cause I love a rainy night
Yeah, I love a rainy night
Well, I love a rainy night
Well, I love a rainy night

Ooh-ooh

I love a rainy night
I love a rainy night
I love to hear the thunder
Watch the lightning
When it lights up the sky
You know it makes me feel good
You might also likeWell, I love a rainy night
It's such a beautiful sight
I love to feel the rain
On my face
To taste the rain on my lips
In the moonlight shadows

Puts a song
In this heart of mine
Puts a smile on my face every time

'Cause I love a rainy night
Yeah, I love a rainy night
Ooh, I love a rainy night
Yeah, I love a rainy night

Ooh-ooh

[Instrumental Interlude]

Showers washed
All my cares away
I wake up to a sunny day
'Cause I love a rainy night
Yeah, I love a rainy night
Well, I love a rainy night
I love a rainy night
Well, I love a rainy night
You can see it in my eyes
Yeah, I love a rainy night
Well, it makes me high
Ooh, I love a rainy night
You know I do, yeah, yeah
I love a rainy night
I love a rainy night
You can see it in my eyes..3Embed"
9,Dolly Parton,9 To 5,1981,76064,"68 Contributors9 to 5 Lyrics[Verse 1]
Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from 9 to 5

[Chorus]
Workin' 9 to 5, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
9 to 5, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmmm...

[Verse 2]
They let you dream just to watch 'em shatter
You're just a step on the boss man's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way
You might also like[Chorus]
Working 9 to 5, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
9 to 5, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
9 to 5, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
9 to 5, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet12Embed"
10,REO Speedwagon,Keep on Loving You,1981,111687,"41 ContributorsKeep on Loving You Lyrics[Verse 1]
You should've seen by the look in my eyes, baby
There was something missing
You should've known by the tone of my voice, maybe
But you didn't listen
You played dead
But you never bled
Instead you lay still in the grass
All coiled up and hissing

[Verse 2]
And though I know all about those men
Still I don't remember
'Cause it was us, baby, way before them
And we're still together

[Pre-Chorus]
And I meant, every word I said
When I said that I love you
I meant that I love you forever

[Chorus]
And I'm gonna keep on loving you
'Cause it's the only thing I wanna do
I don't wanna sleep
I just wanna keep on loving you
You might also like[Guitar Solo]

[Pre-Chorus]
And I meant, every word I said
When I said that I love you
I meant that I love you forever

[Chorus]
And I'm gonna keep on loving you
'Cause it's the only thing I wanna do
I don't wanna sleep
I just wanna keep on loving you
Baby, I'm gonna keep on loving you
'Cause it's the only thing I wanna do
I don't wanna sleep
I just wanna keep on loving you10Embed"
1,Olivia Newton-John,Physical,1982,607314,"30 ContributorsPhysical Lyrics[Verse 1]
I'm sayin' all the things that I know you'll like
Makin' good conversation
I gotta handle you just right
You know what I mean
I took you to an intimate restaurant
Then to a suggestive movie
There's nothin' left to talk about
Unless it's horizontally

[Chorus]
Let's get physical, physical
I wanna get physical
Let's get into physical
Let me hear your body talk, your body talk
Let me hear your body talk
Let's get physical, physical
I wanna get physical
Let's get into physical
Let me hear your body talk, your body talk
Let me hear your body talk

[Verse 2]
I've been patient, I've been good
Tried to keep my hands on the table
It's gettin' hard, this holdin' back
You know what I mean
I'm sure you'll understand my point of view
We know each other mentally
You gotta know that you're bringin' out
The animal in me
You might also like[Chorus]
Let's get physical, physical
I wanna get physical
Let's get into physical
Let me hear your body talk, your body talk
Let me hear your body talk
Let's get physical, physical
I wanna get physical
Let's get into physical
Let me hear your body talk, your body talk
Let me hear your body talk, ah

[Guitar Solo]

[Chorus]
Oh, let's get physical, physical
I wanna get physical
Let's get into physical
Let me hear your body talk, your body talk
Let me hear your body talk
Let's get animal, animal
I wanna get animal
Let's get into animal
Let me hear your body talk, your body talk
Let me hear your body talk, ah-ah
[Outro]
Let me hear your body talk (Your body talk)
Let me hear your body talk6Embed"
2,Survivor,Eye of the Tiger,1982,202978,"97 ContributorsTranslationsPortuguêsEye of the Tiger Lyrics[Verse 1]
Rising up, back on the street
Did my time, took my chances
Went the distance, now I'm back on my feet
Just a man and his will to survive
So many times, it happens too fast
You trade your passion for glory
Don't lose your grip on the dreams of the past
You must fight just to keep them alive

[Chorus]
It's the eye of the tiger
It's the thrill of the fight
Rising up to the challenge of our rival
And the last known survivor
Stalks his prey in the night
And he's watching us all
With the eye of the tiger

[Verse 2]
Face to face, out in the heat
Hanging tough, staying hungry
They stack the odds 'til we take to the street
For the kill with the skill to survive

[Chorus]
It's the eye of the tiger
It's the thrill of the fight
Rising up to the challenge of our rival
And the last known survivor
Stalks his prey in the night
And he's watching us all
With the eye of the tiger
You might also like[Verse 3]
Rising up, straight to the top
Had the guts, got the glory
Went the distance, now I'm not gonna stop
Just a man and his will to survive

[Chorus]
It's the eye of the tiger
It's the thrill of the fight
Rising up to the challenge of our rival
And the last known survivor
Stalks his prey in the night
And he's watching us all
With the eye of the tiger

[Outro]
The eye of the tiger
The eye of the tiger
The eye of the tiger
The eye of the tiger73Embed"
3,Joan Jett & The Blackhearts,I Love Rock 'n Roll,1982,226360,"52 ContributorsI Love Rock ’N Roll Lyrics[Verse 1: Joan Jett]
I saw him dancin' there by the record machine
I knew he musta been about 17
The beat was goin' strong
Playin' my favorite song
And I could tell it wouldn't be long
'Til he was with me, yeah, me
And I could tell it wouldn't be long
'Til he was with me, yeah, me, singin'

[Chorus: Joan Jett & Ricky Byrd & Gary Ryan]
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me

[Verse 2: Joan Jett]
He smiled, so I got up and asked for his name
""That don't matter,"" he said, ""'cause it's all the same""
Said, ""Can I take you home where we can be alone?""
And next we were movin' on
He was with me, yeah, me
Next we were movin' on
He was with me, yeah, me, singin'

[Chorus: Joan Jett & Ricky Byrd & Gary Ryan]
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me
You might also like[Verse 3: Joan Jett]
Said, ""Can I take you home where we can be alone?""
Next we were movin' on
He was with me, yeah, me
And we'll be movin' on and singin' that same old song
Yeah, with me, singin'

[Outro: Joan Jett & Ricky Byrd & Gary Ryan]
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me14Embed"
4,Paul McCartney,Ebony and Ivory,1982,387647,"20 ContributorsEbony and Ivory Lyrics[Chorus: Paul McCartney & Stevie Wonder, Both]
Ebony and ivory
Live together in perfect harmony
Side by side on my piano keyboard
Oh Lord, why don't we?

[Verse: Paul McCartney & Stevie Wonder]
We all know that people are the same where ever you go
There is good and bad in everyone
And we learn to live, we learn to give each other
What we need to survive together alive

[Chorus: Paul McCartney & Stevie Wonder, Both]
Ebony and ivory
Live together in perfect harmony
Side by side on my piano keyboard
Oh Lord, why don't we?

[Bridge]
Ebony, ivory
Living in perfect harmony
Ebony, ivory, ooh

[Verse: Stevie Wonder, Paul McCartney & Both]
We all know that people are the same wherever you go
There is good and bad (Mm, hmm) in everyone
We learn to live when we learn to give each other
What we need to survive together alive
You might also like[Chorus: Paul McCartney & Stevie Wonder, Both]
Ebony and ivory
Live together in perfect harmony
Side by side on my piano keyboard
Oh Lord, why don't we?
Side by side on my piano keyboard
Oh Lord, why don't we?
Mm, hmm

[Outro: Stevie Wonder & Paul McCartney]
Ebony, ivory
Living in perfect harmony
Ebony, ivory
Living in perfect harmony (Ivory)
Ebony, ivory (Ebony)
Living in perfect harmony (Whoa, woah) (Whoa, woah, ooh) (Ivory)
Ebony, ivory (Ebony)
Living in perfect harmony (Ivory, ah! Ivory)
Ebony, ivory (Ebony)
Living in perfect harmony
Ebony, ivory (Learn to give just what you need)
Living in perfect harmony...Embed"
5,The J. Geils Band,Centerfold,1982,272092,"36 ContributorsCenterfold Lyrics[Intro]
Come on!

[Verse 1]
Does she walk? Does she talk?
Does she come complete?
My homeroom homeroom angel
Always pulled me from my seat
She was pure like snowflakes
No one could ever stain
The memory of my angel
Could never cause me pain

[Pre-Chorus 1]
Years go by
I'm looking through a girly magazine
And there's my homeroom angel
On the pages in-between

[Chorus]
My blood runs cold
My memory has just been sold
My angel is the centerfold
Angel is the centerfold
My blood runs cold (Woo!)
My memory has just been sold
Angel is the centerfold
You might also like[Verse 2]
Slipped me notes under the desk
While I was thinking about her dress
I was shy, I turned away
Before she caught my eye
I was shaking in my shoes
Whenever she flashed those baby-blues
Something had a hold on me
When angel passed close by

[Pre-Chorus 2]
Those soft and fuzzy sweaters
Too magical to touch
To see her in that négligée
Is really just too much

[Chorus]
My blood runs cold (Yeah)
My memory has just been sold
My angel is the centerfold
Angel is the centerfold
My blood runs cold
My memory has just been sold (Oh yeah)
Angel is the centerfold

[Bridge]
Na-na, na-na-na-na
Na-na-na, na-na-na-na
Na-na, na-na-na-na
Na-na-na, na-na-na-na
Na-na, na-na-na-na
Na-na-na, na-na-na-na
Na-na, na-na-na-na
Na-na-na, na-na-na-na
[Verse 3]
Now, look
It's okay, I understand
This ain't no never-never land
I hope that when this issue's gone
I'll see you when your clothes are on
Take your car, yes, we will
We'll take your car and drive it
We'll take it to a motel room
And take 'em off in private

[Pre-Chorus 3]
A part of me has just been ripped
The pages from my mind are stripped
Oh no, I can't deny it
Oh yeah, I guess I gotta buy it

[Chorus]
My blood runs cold
My memory has just been sold
My angel is the centerfold
Angel is the centerfold
My blood runs cold (Woo!)
My memory has just been sold
My angel is the centerfold
[Bridge/Outro]
Na-na, na-na-na-na
Na-na-na, na-na-na-na
(Alright! Alright! 1, 2, 3, 4!)
Na-na, na-na-na-na
Na-na-na, na-na-na-na
Na-na, na-na-na-na
Na-na-na, na-na-na-na
Na-na, na-na-na-na
Na-na-na, na-na-na-na
Na-na, na-na-na-na
Na-na-na, na-na-na-na
My blood runs cold (Na-na, na-na-na-na)
My memory has just been sold (Na-na-na, na-na-na-na)
My angel is the centerfold (Na-na, na-na-na-na)
Angel is the centerfold (Na-na-na, na-na-na-na)
My blood runs cold (Oh yeah) (Na-na, na-na-na-na)
My memory has just been sold (Na-na-na, na-na-na-na)
My angel is the centerfold (Na-na, na-na-na-na)
Angel is the centerfold (Na-na-na, na-na-na-na)
(Na-na, na-na-na-na)
(Na-na-na, na-na-na-na)6Embed"
6,The Human League,Don't You Want Me,1982,501821,"44 ContributorsDon’t You Want Me Lyrics[Verse 1: Philip Oakey]
You were workin' as a waitress in a cocktail bar
When I met you
I picked you out, I shook you up and turned you around
Turned you into someone new
Now five years later on you've got the world at your feet
Success has been so easy for you
But don't forget, it's me who put you where you are now
And I can put you back down too

[Pre-Chorus: Philip]
Don't, don't you want me?
You know I can't believe it when I hear that you won't see me
Don't, don't you want me?
You know I don't believe you when you say that you don't need me
It's much too late to find
You think you've changed your mind
You'd better change it back or we will both be sorry

[Chorus: Philip]
Don't you want me, baby?
Don't you want me, ohh?
Don't you want me, baby?
Don't you want me, ohh?

[Verse 2: Susan Ann Sulley]
I was working as a waitress in a cocktail bar
That much is true
But even then I knew I'd find a much better place
Either with or without you
The five years we have had have been such good times
I still love you
But now I think it's time I live my life on my own
I guess it's just what I must do
You might also like[Pre-Chorus: Philip]
Don't, don't you want me?
You know I can't believe it when I hear that you won't see me
Don't, don't you want me?
You know I don't believe you when you say that you don't need me
It's much too late to find
You think you've changed your mind
You'd better change it back or we will both be sorry

[Chorus: Philip]
Don't you want me, baby?
Don't you want me, ohh?
Don't you want me, baby?
Don't you want me, ohh?

[Instrumental Break]

[Chorus Repeated Until Fade: Philip]
Don't you want me, baby?
Don't you want me, ohh?
Don't you want me, baby?
Don't you want me, ohh?15Embed"
7,John Cougar,Jack & Diane,1982,193981,"42 ContributorsJack & Diane Lyrics[Verse 1]
Little ditty about Jack and Diane
Two American kids growin' up in the heartland
Jack, he's gonna be a football star
Diane's debutante backseat of Jacky's car

[Verse 2]
Suckin' on a chili dog outside the Tastee Freez
Diane's sittin' on Jacky's lap, he's got his hand between her knees
Jacky say, ""Hey Diane, lets run off behind a shady tree
Dribble off those Bobby Brooks slacks, now do what I please""
Say a....

[Chorus]
Oh yeah, life goes on
Long after the thrill of livin' is gone
I say, oh yeah say life goes on
Long after the thrill of livin' is gone
Now walk on

[Verse 3]
Jacky sits back, collects his thoughts for the moment
Scratches his head and does his best James Dean
""Well then, there Diane, we ought to run off to the city""
Diane says, ""Baby, you ain't missin' nothing""
But Jacky say a...
You might also like[Chorus]
Oh yeah, life goes on
Long after the thrill of livin' is gone
Oh yeah I say life goes on
Long after the thrill of livin' is gone

[Bridge]
Gonna let it rock, let it roll
Let the Bible Belt come and save my soul
Holdin on to sixteen as long as you can
Changes come around real soon
Make us women and men

[Chorus]
Oh yeah, life goes on
Long after the thrill of livin' is gone
Oh yeah they say life goes on
Long after the thrill of livin' is gone

[Outro]
A little ditty about Jack and Diane
Two American kids doing the best they can11Embed"
8,John Cougar,Hurts So Good,1982,381807,"11 ContributorsHurts So Good Lyrics[Intro]

[Verse 1]
When I was a young boy
Said put away those young boy ways
Now that I'm getting older, so much older
I long for those young boy days
With a girl like you
With a girl like you
Lord knows there are things we can do, baby
Just me and you
Come on and make it a

[Chorus]
Hurt so good
Come on, baby, make it hurt so good
Sometimes love don't feel like it should
You make it hurt so good

[Verse 2]
You don't have to be so exciting
Just trying to give myself a little bit of fun, yeah
You always look so inviting
You ain't as green as you are young
Hey, baby, it's you
Come on, girl, now it's you
Sink your teeth right through my bones, baby
Let's see what we can do
Come on and make it a
You might also like[Chorus]
Hurt so good
Come on, baby, make it hurt so good
Sometimes love don't feel like it should
You make it
A-hurt so good
[Bridge]
I ain't talking no big deals
I ain't made no plans myself
I ain't talking no high heels
Maybe we could walk around all day long
Walk around all day long
Uh

[Chorus]
Hurt so good
Come on, baby, make it hurt so good
Sometimes love don't feel like it should
You make it hurt so good
Hurt so good (Come on baby, now)
Come on, baby, make it hurt so good
Sometimes love don't feel like it should
You make it hurt so good

[Outro]
Hey, hey3Embed"
9,Steve Miller Band,Abracadabra,1982,149385,"20 ContributorsAbracadabra Lyrics[Verse 1]
I heat up
I can't cool down
You got me spinnin'
'Round and 'round
'Round and 'round
And 'round it goes
Where it stops
Nobody knows

[Verse 2]
Every time you call my name
I heat up
Like a burnin' flame
Burnin' flame
Full of desire
Kiss me, baby
Let the fire get higher

[Chorus]
Abra-abra-cadabra
I wanna reach out and grab ya
Abra-abra-cadabra
Abracadabra

[Verse 3]
You make me hot
You make me sigh
You make me laugh
You make me cry
Keep me burnin'
For your love
With the touch
Of a velvet glove
You might also like[Chorus]
Abra-abra-cadabra
I wanna reach out and grab ya
Abra-abra-cadabra
Abracadabra

[Verse 4]
I feel the magic in your caress
I feel magic when I touch your dress
Silk and satin
Leather and lace
Black panties with an angel's face

[Verse 5]
I can see magic
In your eyes
I hear the magic
In your sighs
Just when I think I'm gonna get away
I hear those words that you always say

[Chorus]
Abra-abra-cadabra
I wanna reach out and grab ya
Abra-abra-cadabra
Abracadabra
[Verse 2]
Every time
You call my name
I heat up like a burnin' flame
Burnin' flame
Full of desire
Kiss me baby
Let the fire get higher
Yeah, yeah

[Instrumental]

[Break]
I heat up
I can't cool down
My situation goes 'round and 'round
I heat up
I can't cool down
My situation goes 'round and 'round
I heat up
I can't cool down
My situation goes 'round and 'round

[Outro]
I heat up (I heat up)
I can't cool down (I can't cool down)
My situation goes 'round and 'round ('Round and 'round)
I heat up (I heat up)
I can't cool down (I can't cool down)
My situation goes 'round and 'round ('Round and 'round)
I heat up (I heat up)
I can't cool down (I can't cool down)7Embed"
