band_singer,ranking,song,title,genre,year
"Clarence ""Frogman"" Henry",43,"[""(I Don't Know Why) But I Do""]",(I Don't Know Why) But I Do,['R&B'],1961
Kokomo,44,Asia Minor,Asia Minor,"['Rock', 'classical']",1961
Faron Young,45,Hello Walls,Hello Walls,['Country'],1961
Dion,46,Runaround Sue,Runaround Sue,['Doo-woprock and roll'],1961
Arthur Lyman,47,Yellow Bird,Yellow Bird,['Calypso'],1961
Timi Yuro,48,Hurt,Hurt,['R&B'],1961
Ricky Nelson,49,Hello Mary Lou,Hello Mary Lou,['Rockabilly'],1961
The Capris,50,"[""There's a Moon Out Tonight""]",There's a Moon Out Tonight,['Doo-wop'],1961
Elvis Presley,51,Surrender,Surrender,['Rock and roll'],1961
The Paris Sisters,52,I Love How You Love Me,I Love How You Love Me,['Pop'],1961
Lee Dorsey,53,Ya Ya,Ya Ya,"['Soul', 'rock and roll']",1961
Gary U.S. Bonds,54,School Is Out,School Is Out,['Rock and roll'],1961
Bob Moore,55,Mexico,Mexico,"['Pop', 'country']",1961
Ral Donner,56,t Know What You,You Don't Know What You've Got (Until You Lose It),[],1961
The Everly Brothers,57,Walk Right Back,Walk Right Back,['Rock'],1961
The Lettermen,58,The Way You Look Tonight,The Way You Look Tonight,"['Jazz', 'Popular Music']",1961
Pat Boone,59,Moody River,Moody River,['Country pop'],1961
Ray Charles,60,One Mint Julep,One Mint Julep,['R&B'],1961
Adam Wade,61,Take Good Care of Her,Take Good Care of Her,['Pop'],1961
Carla Thomas,62,Gee Whiz (Look at His Eyes),Gee Whiz (Look at His Eyes),['Memphis soul'],1961
Ben E. King,63,Stand by Me,Stand by Me,['R&B'],1961
Ben E. King,64,Spanish Harlem,Spanish Harlem,['Soul'],1961
Ike and Tina Turner,65,"[""It's Gonna Work Out Fine""]",It's Gonna Work Out Fine,[],1961
The Echoes,66,Baby Blue,Baby Blue,['Pop'],1961
Buzz Clifford,67,"[""Baby Sittin' Boogie""]",Baby Sittin' Boogie,['Pop'],1961
Del Shannon,68,Hats Off to Larry,Hats Off to Larry,['Rock and roll'],1961
Little Caesar & the Romans,69,Those Oldies but Goodies,Those Oldies but Goodies,['Doo-wop'],1961
Chubby Checker,70,The Fly,The Fly,['Rock and roll'],1961
Elvis Presley,71,"[""(Marie's the Name) His Latest Flame""]",(Marie's the Name) His Latest Flame,['Rock'],1961
Bert Kaempfert,72,Wonderland by Night,Wonderland by Night,['Jazz'],1961
Tony Orlando,73,Bless You,Bless You,['Pop'],1961
Linda Scott,74,"[""I've Told Every Little Star""]",I've Told Every Little Star,['Pop'],1961
Bobby Lewis,75,"""One Track Mind""","""One Track Mind""",[],1961
Rosie and the Originals,76,Angel Baby,Angel Baby,['Doo-wop'],1961
Curtis Lee,77,Pretty Little Angel Eyes,Pretty Little Angel Eyes,"['Pop', 'doo-wop']",1961
Brook Benton,78,Think Twice,Think Twice,['Pop'],1961
Lonnie Donegan,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),"['Skiffle', 'novelty song']",1961
Connie Francis,80,"[""Breakin' in a Brand New Broken Heart""]",Breakin' in a Brand New Broken Heart,['Country pop'],1961
The Shirelles,81,Mama Said,Mama Said,['R&B'],1961
Fats Domino,82,"""Let the Four Winds Blow""","""Let the Four Winds Blow""",[],1961
Adam Wade,83,The Writing on the Wall,The Writing on the Wall,[],1961
